______________________
1L
telomer span: 1-10, length: 10, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 399-417, length: 19, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 418-431, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 432-462, length: 31, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 463-491, length: 29, pattern Start: 127, pattern end: 13, last_jump_size: N/A
telomer span: 492-517, length: 26, pattern Start: 118, pattern end: 1, last_jump_size: 37
telomer span: 518-559, length: 42, pattern Start: 104, pattern end: 3, last_jump_size: 39
telomer span: 560-593, length: 34, pattern Start: 122, pattern end: 13, last_jump_size: 23
telomer span: 594-621, length: 28, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 622-686, length: 65, pattern Start: 91, pattern end: 13, last_jump_size: N/A
telomer span: 687-718, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: 41
telomer span: 719-731, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 732-758, length: 27, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 759-772, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 773-790, length: 18, pattern Start: 138, pattern end: 13, last_jump_size: 7
telomer span: 791-802, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 803-820, length: 18, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 821-834, length: 14, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 835-851, length: 17, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 852-882, length: 31, pattern Start: 113, pattern end: 1, last_jump_size: N/A
telomer span: 883-911, length: 29, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 912-926, length: 15, pattern Start: 131, pattern end: 3, last_jump_size: N/A
telomer span: 927-950, length: 24, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 951-960, length: 10, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 961-990, length: 30, pattern Start: 116, pattern end: 3, last_jump_size: N/A
telomer span: 991-1000, length: 10, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1001-1030, length: 30, pattern Start: 114, pattern end: 1, last_jump_size: N/A
telomer span: 1031-1044, length: 14, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1045-1059, length: 15, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1060-1073, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 1074-1147, length: 74, pattern Start: 82, pattern end: 13, last_jump_size: 63
telomer span: 1148-1164, length: 17, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1165-1174, length: 10, pattern Start: 0, pattern end: 9, last_jump_size: N/A
telomer span: 1175-1185, length: 11, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1186-1193, length: 8, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1194-1203, length: 10, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1204-1233, length: 30, pattern Start: 116, pattern end: 3, last_jump_size: N/A
telomer span: 1234-1246, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 1247-1254, length: 8, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1255-1282, length: 28, pattern Start: 118, pattern end: 3, last_jump_size: N/A
telomer span: 1283-1295, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 1296-1314, length: 19, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1315-1328, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 1329-1359, length: 31, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1360-1388, length: 29, pattern Start: 127, pattern end: 13, last_jump_size: N/A
telomer span: 1389-1414, length: 26, pattern Start: 118, pattern end: 1, last_jump_size: 37
telomer span: 1415-1456, length: 42, pattern Start: 104, pattern end: 3, last_jump_size: 39
telomer span: 1457-1490, length: 34, pattern Start: 122, pattern end: 13, last_jump_size: 23
telomer span: 1491-1518, length: 28, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
______________________
13L
telomer span: 1-19, length: 19, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 20-38, length: 19, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 39-43, length: 5, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
pos: 44: A mutation
telomer span: 45-70, length: 26, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 71-95, length: 25, pattern Start: 131, pattern end: 13, last_jump_size: N/A
telomer span: 96-107, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 108-139, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: N/A
telomer span: 140-152, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 153-179, length: 27, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 180-193, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 194-267, length: 74, pattern Start: 82, pattern end: 13, last_jump_size: 63
telomer span: 268-279, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 280-311, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: N/A
telomer span: 312-324, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 325-351, length: 27, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 352-365, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 366-415, length: 50, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 416-444, length: 29, pattern Start: 127, pattern end: 13, last_jump_size: N/A
telomer span: 445-456, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 457-488, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: N/A
telomer span: 489-501, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 502-528, length: 27, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 529-542, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 543-606, length: 64, pattern Start: 82, pattern end: 3, last_jump_size: 63
telomer span: 607-619, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 620-646, length: 27, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 647-660, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
______________________
14R
telomer span: 1-8, length: 8, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 9-20, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 21-34, length: 14, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 35-56, length: 22, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 57-71, length: 15, pattern Start: 131, pattern end: 3, last_jump_size: N/A
telomer span: 72-83, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 84-100, length: 17, pattern Start: 129, pattern end: 3, last_jump_size: N/A
telomer span: 101-113, length: 13, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 114-130, length: 17, pattern Start: 129, pattern end: 3, last_jump_size: N/A
telomer span: 131-155, length: 25, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 156-177, length: 22, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 178-187, length: 10, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 188-214, length: 27, pattern Start: 118, pattern end: 2, last_jump_size: N/A
telomer span: 215-229, length: 15, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 230-244, length: 15, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 245-260, length: 16, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 261-280, length: 20, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 281-297, length: 17, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 298-325, length: 28, pattern Start: 118, pattern end: 3, last_jump_size: N/A
telomer span: 326-337, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 338-349, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 350-377, length: 28, pattern Start: 118, pattern end: 3, last_jump_size: N/A
telomer span: 378-396, length: 19, pattern Start: 127, pattern end: 3, last_jump_size: 18
telomer span: 397-409, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 410-425, length: 16, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 426-450, length: 25, pattern Start: 131, pattern end: 13, last_jump_size: N/A
telomer span: 451-462, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 463-494, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: N/A
telomer span: 495-507, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 508-534, length: 27, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 535-548, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 549-622, length: 74, pattern Start: 82, pattern end: 13, last_jump_size: 63
telomer span: 623-634, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 635-666, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: N/A
telomer span: 667-679, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 680-686, length: 7, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 687-705, length: 19, pattern Start: 127, pattern end: 3, last_jump_size: N/A
telomer span: 706-718, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 719-745, length: 27, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 746-759, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 760-833, length: 74, pattern Start: 82, pattern end: 13, last_jump_size: 63
telomer span: 834-845, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 846-877, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: N/A
telomer span: 878-890, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 891-964, length: 74, pattern Start: 82, pattern end: 13, last_jump_size: 63
telomer span: 965-976, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 977-1008, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: N/A
telomer span: 1009-1021, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
______________________
15L
telomer span: 1-8, length: 8, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 9-15, length: 7, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 16-25, length: 10, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 26-44, length: 19, pattern Start: 127, pattern end: 3, last_jump_size: N/A
telomer span: 45-100, length: 56, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 101-119, length: 19, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 120-150, length: 31, pattern Start: 113, pattern end: 1, last_jump_size: N/A
telomer span: 151-202, length: 52, pattern Start: 104, pattern end: 13, last_jump_size: 39
telomer span: 203-214, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 215-246, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: N/A
telomer span: 247-259, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 260-286, length: 27, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 287-300, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 301-374, length: 74, pattern Start: 82, pattern end: 13, last_jump_size: 63
telomer span: 375-386, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 387-418, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: N/A
telomer span: 419-431, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 432-458, length: 27, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 459-472, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 473-546, length: 74, pattern Start: 82, pattern end: 13, last_jump_size: 63
telomer span: 547-558, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 559-590, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: N/A
telomer span: 591-603, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 604-630, length: 27, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 631-644, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
______________________
16L
telomer span: 1-20, length: 20, pattern Start: 126, pattern end: 3, last_jump_size: N/A
telomer span: 21-32, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 33-51, length: 19, pattern Start: 127, pattern end: 3, last_jump_size: N/A
telomer span: 52-61, length: 10, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 62-73, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 74-85, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 86-101, length: 16, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 102-109, length: 8, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 110-121, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 122-133, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 134-147, length: 14, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 148-164, length: 17, pattern Start: 129, pattern end: 3, last_jump_size: N/A
telomer span: 165-177, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 178-199, length: 22, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 200-213, length: 14, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 214-247, length: 34, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 248-262, length: 15, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
